"Case_IDs","S1PR5","AC236972.3","KRT13","TFAP2A","AP001972.5","AP004608.1","NXPH4","NTRK2","TOX3","TICRR","GRHL3","AC116407.1","SERPINB2","KRT16","MUC21","MAP1LC3C","SLC2A1","GJB6","GABRA3","B4GALNT4","DPPA3P2","DUSP9","PITX1","RPS29P11","FGFBP2","E2F7","AC005537.2","GPR87","AC027288.1","GNGT1","PCDHA12","FOXE1"
"TCGA-90-7769-01A",18.3637565704939,9.586872097645,23.9125803976152,18.2543675901576,14.8060712612924,7.34599601287178,16.6382795055768,22.0565420796687,10.636089533407,17.3046005798285,19.373186702544,13.6852313186339,17.7687178022838,24.6937067700985,15.7959213160097,11.524292316127,23.0251566801029,18.3840797805294,16.5219275482512,15.9761344691063,11.18595259314,14.3194456217388,20.7448456442905,10.5340851509914,12.6581869608826,16.4750142383597,12.3814749510858,17.3917230780445,9.5956131937026,16.150308220711,11.5733626700114,21.7930280503515
"TCGA-55-1592-01A",13.4150669346256,12.5741790139146,10.7256933470225,16.5600900757783,19.1203327872415,15.1357404914823,13.1351875806476,13.5508591288006,17.6256048547513,14.5834625263042,14.0144691752479,15.8008794943823,8.97332529507149,13.0793821942236,18.9326138948732,14.0242752180472,19.474091222038,11.9915613815638,16.6394446393073,15.3413800773742,13.8116830856029,12.6025350681034,10.9899690412106,15.7195581337238,11.2750966487668,13.5388546115193,11.1401754673295,10.8674483585517,10.28806451385,13.7932858847676,13.2646393893255,15.4056945911086
"TCGA-55-6543-01A",12.6781746263644,11.895560985692,13.6665471147505,18.3273892268918,19.9376270165055,12.9117053428135,14.4594983717309,13.9304894072858,16.9652673150684,12.7239182223812,13.4604301821941,16.2676459472363,11.8248675507322,16.3073991840228,18.8499049344502,14.1887625767351,19.1203327872415,10.7367322673523,8.96746084022181,15.4881644574107,13.670869148683,8.78036347555148,13.5858906535749,17.8919516456224,13.0313999538917,15.2107513002274,8.59914801536092,15.5892656825081,12.1065421804776,8.28739981176697,16.0613880097357,12.011743575011
"TCGA-86-8359-01A",12.4289038421528,9.34543866084136,13.341767890124,13.8864343210049,19.1495291383859,15.3842580529824,12.0840775646931,13.9430829873795,17.5525294603958,14.1690870368713,11.7866955603357,16.365761180594,10.1067910439581,14.9691799794496,18.9230607552934,14.0331936156438,18.2518541682062,14.6318694117849,9.07111621734489,17.3907219196589,12.972800327674,11.327469093206,17.9929978801741,14.9672461253736,13.1750503517473,12.9717095629542,13.2300205630848,11.9932073420866,8.13212861237112,14.1090909207014,10.3383206221127,11.3411266301883
"TCGA-60-2722-01A",18.0095908332861,8.74883635375513,24.0429278672306,18.0354956800587,15.6987489245741,5.50384132609061,18.2107017115686,23.8081437705286,10.864777983227,17.315067938143,19.1103347238018,13.2997993963162,17.3736505220165,23.0774087904938,11.207498382644,11.5510378708295,22.5845119906535,20.0301852606283,16.599783746925,17.6172739507425,10.731287230794,17.0017350050912,19.2452483664996,11.5427557163282,12.9706452831013,17.6329623371786,14.298531417855,18.6554602728021,8.73018964357448,16.190956053936,8.13212861237112,22.827828407857
"TCGA-NJ-A4YP-01A",13.4269215309483,12.2344974112342,17.5702803559331,17.2478028947263,19.4211633810995,17.0908921074464,12.2256484726897,15.5572525761789,16.8167514588016,15.2204611869941,12.8556902260685,16.4214051681841,11.1206238621487,17.5742036185333,20.3501759810653,13.0512116251121,19.6813564015452,13.4279639494398,8.98470588929386,14.5805364175849,11.9883134541345,12.0939022822201,18.0007681437685,16.3669736462537,11.2635809596884,13.8297796996734,9.26913007873061,12.2163926623812,9.33134135297814,11.9391804856272,12.8286338782024,9.71183294012878
"TCGA-39-5016-01A",19.6378275804033,10.2549080461153,24.1809450984428,17.0451017456952,17.2402876492741,8.34385879724162,13.3089353251438,22.528929747619,6.24905430167937,15.8819881914883,17.7489708159886,14.0121878838762,16.7299578827775,20.019134097592,10.636089533407,13.249429069396,21.2215742010729,18.1091223467212,15.2585719842919,17.2706080632843,10.4693124847116,15.1945230127268,19.8484913765678,10.3046652116616,15.3198806746224,16.3237313758346,14.9846049964057,17.2238808604555,9.22450101367836,16.295539444838,6.64817597251022,21.3231274101434
"TCGA-33-AASL-01A",19.0415476258226,9.85061874798535,23.5715746072954,18.1898351588811,14.7204849183063,9.743887060999,18.731784932903,22.7641629286736,9.52653667614491,18.1935915183472,19.1260098510262,13.713760316153,14.6983118307334,24.6937067700985,13.2503852199287,10.8402770443608,22.0247547796685,19.9594178075367,18.8007264421463,18.6004803583112,10.3804355984484,15.9433586090203,21.3176656547092,10.3481885107938,11.6281378076301,16.6244878406715,13.1351875806476,19.0352309902811,8.92326472989757,15.9025738321329,13.4337013726464,21.5941380850559
"TCGA-85-8350-01A",18.0973697075534,8.61953092644999,23.8243138708582,18.5900785895317,17.5609384260424,7.90221435813293,19.7868559172809,19.4443290451218,13.8555535279148,16.234749211693,16.7690482440385,13.4044185055664,15.5131973433884,23.5616088192746,12.9640231407048,10.3865907140481,22.087122360768,18.7451026447225,15.7655175649857,17.5135016912813,10.6737991688375,15.8252060968297,18.3033120594431,12.5212166886686,17.0881017939623,16.6121363313702,13.5133549622076,18.4218964496098,8.82255298769571,13.5952862311589,8.13212861237112,16.3879278306988
"TCGA-58-8386-01A",16.4969418514701,11.3298103465161,13.892248547082,18.6592995481846,18.5759337720851,7.97659171680291,18.2511766013501,21.1292482767524,12.1737919123941,16.2179413446259,17.2327694869786,17.1124675665371,10.367564570657,24.6937067700985,15.3007604582653,15.0504941940291,22.8994863400366,20.4137667155427,14.6404348487387,17.3205399610408,11.2474285419581,13.7164036827041,18.0689218580261,15.0011830366004,15.7880423611964,16.9470664693431,10.7396900475563,18.5599806121306,11.7533258318907,14.9716894620387,13.1075736808272,17.6845762215851
