"Case_IDs","SLC2A1","NTRK2","TOX3","NXPH4","TFAP2A","KRT13","TICRR","AC116407.1","AP001972.5","GRHL3","MUC21","GJB6","KRT16","B4GALNT4","LRRN4","E2F7","AC005537.2","PITX1","DUSP9","GABRA3","AC027288.1","FAM83D","GPR87","RPS29P11","GNGT1","MAP1LC3C","PCDHA12","HOXC13","TNS4","ZIC2","FOXE1","AC008268.1"
"TCGA-78-7539-01A",17.3984967448703,13.5351891515943,17.3917230780445,12.149114532546,15.24140518093,11.1132066465118,13.3347619485649,16.1311580179328,18.2837252907664,14.9730926717504,18.5145669988469,14.029139638316,9.34098411594344,16.2926039546903,15.7824694224333,12.4358943005742,11.9024835063807,14.2762985689778,9.90414043977211,13.3007775770459,10.7960086200894,13.9092117736734,9.53495491935686,18.7257659317652,15.2042263455366,15.8486390843002,10.6032477391157,15.4925048122142,13.6665471147505,11.7195054354101,10.0312167558442,12.4743907309575
"TCGA-78-7149-01A",18.8885341791927,14.2140214440993,13.963342796852,11.6220970286685,14.6382965411852,18.1377435244177,13.4227947130344,17.7405467333309,18.8081947759266,14.4041587951564,19.6557995173166,11.1548812975901,15.1680391928279,16.0811480643723,15.4648989313263,12.1660977400696,11.1956601692334,14.8663768611572,9.49150139911986,10.2071483305805,14.8240860158456,14.7910988205053,14.7550826826868,13.0883604762628,10.2781976472347,14.0878964041736,13.3119444495501,8.97332529507149,15.9240115495409,12.1146192492846,11.1811770734399,9.28388285571551
"TCGA-62-A46R-01A",17.5579278176078,13.2766387974059,17.225922406586,11.379246804192,15.4957598925851,12.1208079439205,14.3039396382877,18.5751818174855,19.7558420512232,12.4905313860395,22.7400336419854,18.9575354530333,12.4456278287108,10.5580589421647,18.7581870366304,13.7581562173132,9.76459187564576,12.5291428372624,14.5005641897784,10.7482889656289,9.67936685944585,15.7236376724759,16.2407957776938,17.5158504478213,10.8402770443608,17.594889325085,11.9356190834158,8.63276841908945,14.4705740969171,12.7869815532721,16.3065273890078,20.6564362133642
"TCGA-70-6722-01A",21.7258131689538,13.6374497028599,11.8410115065757,12.7448867335376,18.0994937010921,20.148998183193,16.0586516567595,13.2176989889424,18.1647506073126,15.4897657082183,16.0572876222401,18.1620347320962,20.1267226877144,15.7200781732002,14.8729316117704,16.4318991614384,11.5324767164452,17.4364369838242,18.6873591647518,13.7474937976076,9.45164912038176,17.9624743497772,19.1174644977824,13.8889455069415,15.0844841804174,13.1363003102286,11.1523819995359,8.82845297389184,20.6912971285962,16.5830792969938,16.7912261905287,12.1706900457757
"TCGA-98-A53B-01A",21.7066548500319,21.0466893502481,14.4236723062156,18.0695889106759,19.1250599087094,20.7797455688093,16.8115694404169,14.0569237724352,17.5418734680983,15.716551618782,14.0097748983284,21.1090818851225,20.2818409200677,16.9670535116682,14.3008276782753,15.7490542557785,12.0680135678934,18.7691019232321,16.3454832922885,15.8034288200822,9.88517834534625,17.4421378062231,18.2209753755721,14.9896011304552,14.0046980636875,11.6098479619017,9.56164655181604,15.559388387986,20.7479712345743,15.5648461675087,17.9553657879088,10.9615627016046
"TCGA-NC-A5HT-01A",23.5600919005662,21.0091781667009,12.5663272065667,13.7395710232403,18.5190197151074,23.852761585717,16.9219702598991,13.8572685459042,15.3995612437227,16.4250994046718,11.601678958629,12.2010765995553,16.8732488854949,17.1492469483889,11.9148901080363,15.5309913890314,13.9100985153189,19.8271469597268,13.2503852199287,16.8583832971339,9.16441006476502,19.5697980088086,18.6495803139512,13.5776996092348,15.2890721910819,10.8043975941333,9.41076142565439,13.7616896258202,17.3547305346583,17.8054354441534,18.0089257999842,11.690685170886
"TCGA-49-4512-01A",17.3803732336542,14.3951637862289,17.3340728292612,12.3829175735756,14.7385364323443,11.2146331712362,13.7941669997786,18.023877922612,18.378257607259,14.2319946410458,23.5715746072954,9.69568793408673,13.1686145354062,12.0186185893274,17.3310314373762,13.5638520391704,9.11818188566873,11.7866955603357,14.7106866211542,8.14134848088747,9.37901025037937,15.8296005183309,15.679324174108,17.6245928933393,9.86177347771805,14.1960204662736,11.9612783185322,13.3179667880788,16.117322245997,11.135359736809,14.0919391881487,18.6439674773758
"TCGA-49-AAR4-01A",19.9212242245356,13.5425202209613,15.0979702098164,11.8869347946638,17.630611881953,14.1187608095168,15.8698938275075,15.4310219822713,19.3243291265603,13.3338117499281,21.4669490872882,10.5001576236156,17.5085002272254,17.3049408660349,16.7772043731862,14.1057240017255,12.6204910661578,17.5204987853584,7.99736767630333,16.5718107161797,9.38344005805908,14.9807822190095,18.0636987151546,16.3742679678398,13.2156376304124,15.3408024256926,12.4536503278974,7.63768255167084,18.6096800346226,14.5827359517871,14.1817356770698,13.1600586218562
"TCGA-39-5031-01A",23.0655032215892,22.4769035445657,13.7949943627841,19.2125620698906,17.7874066700795,24.1809450984428,16.1058499590217,12.4154810156173,17.733568919685,18.1384012780726,15.4006601657007,19.4885703155504,23.4698148838755,17.0119843978438,12.0134725592223,16.0941734578891,12.9850181467293,20.562322040328,17.0671707005909,15.9594318575093,8.39063207814666,18.8114692605335,17.3039236350548,13.4641558409758,14.9640111355702,11.964761614003,8.66607800602438,16.8401345257315,18.7036131980947,14.0373269518579,21.1090818851225,12.9071317636335
"TCGA-91-6836-01A",21.3467562298172,14.2164356010009,14.2397671550697,13.309954330308,16.0362694467636,9.5956131937026,16.8942726120105,14.6077944471457,18.8950548422412,15.1632381886869,13.1632321807522,12.1829446043228,13.709229521093,16.4286999117951,20.2995738427227,14.2717243072109,8.85219589958226,17.9658210367965,17.4921292751367,8.34385879724162,9.53974500932411,18.2865811945755,11.7665036580293,15.6381867689368,15.6874337528022,15.6209164952304,11.7307740179889,15.0504941940291,11.659762961114,15.1868327749002,13.8633770263238,19.0134158354602
