"Case_IDs","SLC2A1","NTRK2","TOX3","NXPH4","TFAP2A","KRT13","AC116407.1","TICRR","GRHL3","SERPINB2","AP001972.5","MUC21","GJB6","MAP1LC3C","DUSP9","E2F7","KRT16","BBOX1-AS1","LRRN4","PITX1","GABRA3","FAM83D","GPR87","AC027288.1","PDK4","RPS29P11","HOXC13","ZIC2","KCNMB2-AS1","FOXE1","SYT14","AC008268.1"
"TCGA-78-7158-01A",16.3628342889501,14.6524591750327,15.1754240147052,12.4029799942668,16.1962049986976,12.696748144829,16.9004135946715,14.6996751781925,13.199947526699,9.42888607513598,18.1191703368958,17.3103510331582,17.1263905114481,13.4499161431494,12.4905313860395,13.56659199843,11.3815201685148,7.46303616931544,15.9206857125033,15.861230834161,8.14134848088747,15.3733965343602,8.91143551105978,9.36493938068545,15.7363764311169,16.4689472209541,8.61281369382439,12.0467223268869,9.44722543892459,10.8727924973714,10.4878552169018,19.4914964717441
"TCGA-78-8655-01A",19.1241038898511,15.0422655407968,17.0915931618,11.2909806406003,18.6193952970399,11.8013304570653,16.1262546894625,13.8220783603097,12.7104552233064,10.7511350304254,17.2177189823371,18.4222464268288,20.1276256405811,15.5550798825429,11.6965801665653,13.2585616493538,16.3446754611984,9.41076142565439,14.0520561477017,16.5420979803001,8.79890391088879,15.0056709298828,17.8926306231178,11.7922991337678,17.1599773689441,17.5902300559847,8.92326472989757,17.8694231687025,10.7960086200894,15.9410096962987,8.81084612882883,16.708901551224
"TCGA-55-7725-01A",17.3357575836443,20.7092142012132,17.3303487313125,9.72419253495313,18.2611411719584,12.1964566881719,17.0073934428326,13.5295227523071,13.3868616810779,7.44682698400795,18.3490802770324,20.3360435166157,12.5064718079546,14.2606945426952,14.6162686116984,12.8943186281272,16.518369726896,10.7340221564579,15.6072826741022,16.3022455846227,8.30366206698314,14.2916225625685,9.78009662312844,11.6038048107905,16.8932042144965,18.5186476207759,9.01735939560233,11.0231730352299,8.4281730603867,15.1133631421545,8.29570917574288,18.2543675901576
"TCGA-91-8497-01A",16.9338302863413,13.8864343210049,17.9665268794882,15.5615371514035,14.4072511004163,8.17711964362564,15.5540071389573,12.0857557430059,11.1229666730052,10.3212672223097,20.2549564750857,16.2243970574667,10.3147500066167,16.3442743265607,8.99028979608741,11.065965021912,11.1155959853153,11.642321041025,15.8119511290578,16.079305271337,9.94598177512678,14.0003902309478,9.14380885383121,11.412315996729,20.8175108694889,16.6332959608293,10.7678679390383,10.555148168232,9.3363334647244,9.90414043977211,9.50459133172095,16.8023337626078
"TCGA-50-5066-02A",19.2027430506117,15.0044118766799,11.2450680758665,13.8746011808792,14.7106866211542,14.9704742156271,14.6454262642198,15.0876559732828,14.3778635045724,8.76735402438516,20.2439590603669,19.8477284649559,12.0516173801912,14.7336551910377,14.4786283355666,14.8093214719342,16.9563538827856,10.79042833644,13.7932858847676,13.8778947836855,10.8513080776166,17.2662011443196,13.71920512648,9.01735939560233,19.10604293865,14.5920296426851,11.164311952557,12.3642630642238,14.4505518918697,15.166828107294,11.7941121046756,18.7531854549191
"TCGA-80-5608-01A",17.9698702874251,13.6154273423837,18.0626572473191,14.3951637862289,14.6622596710557,11.3298103465161,16.0012987402253,15.1564990401483,12.1753448229971,9.7559552521009,18.9308464726393,19.4909259766717,12.7642304238954,14.7254287316504,8.81084612882883,14.0766103242837,13.6263913683406,14.7183906166341,14.8816524297525,16.7646021403093,8.63927664622713,18.4420707728425,10.5370568323544,10.9718021633696,21.2043734331207,15.8776294165281,15.8481502997424,9.39237415648424,15.780049042177,9.21451791721257,9.41979396336305,15.8364430328527
"TCGA-39-5027-01A",21.5941380850559,23.2802635463475,14.3717853418766,18.1627087119991,17.863668665072,21.3593597406782,14.6064335690424,17.2447309279659,17.9913275136474,14.2037972227097,16.4941742755984,15.4304637079479,21.1247322054131,7.78876146744659,16.3920116995047,17.0531600800536,21.0720458189136,16.4822128127981,13.3858450891987,20.2519565846885,17.9675310723103,18.7225381203531,17.609911396785,10.0129697379956,15.1084864729398,13.9658223926364,15.6287734121152,18.4590268572787,18.0668253899098,21.2390710458558,17.1933561498509,13.2310665833022
"TCGA-66-2800-01A",23.4574438626498,22.7468578945047,11.4635275335034,18.4970244976463,17.1138597563153,17.290309235528,14.9104181726421,15.8839236986286,17.4977680891831,16.1730661217365,17.3327136915502,14.4617090557825,20.2642960329121,14.64610802044,16.5600900757783,16.3300075143475,21.7845032607627,14.807382237123,14.8749423790487,19.5333871391832,16.7842157052532,19.2130469836091,17.594213690155,8.55192449257743,17.2002179142614,13.2656500881015,15.2299651507909,15.6961870971829,17.1571952528669,20.8343642630667,15.3505930351006,15.0347242218236
"TCGA-98-8023-01A",20.5815873276792,20.387269419324,9.66272766879145,14.2778537730267,17.8345067429956,21.0777426907706,12.9572638472888,16.8859446632177,15.7120336601602,12.7724999557114,17.538534979072,9.18484853317538,18.7880371779087,11.3572051880643,13.2715606339895,16.6493491364148,24.7207686930328,16.1213190495816,10.7340221564579,16.9928812991089,17.245753535298,17.5745495927806,18.1873426636306,9.31765451365998,14.4624202432344,11.5714040777971,9.88902066784961,12.4550644241775,15.3257184855785,19.7395012729885,16.5791933715026,9.42429173158885
"TCGA-66-2788-01A",23.0052872216787,20.5400972394059,11.6696009286024,18.1294416006209,17.6396195298505,23.9921146471155,11.444322102611,15.8059640514338,17.5586159493648,16.2770619473425,16.4605013492412,13.6575367141758,19.8882222204929,13.5877813587364,15.2790973777036,16.2132402604376,23.9759239321818,15.2890721910819,12.9651812979562,20.0953544632372,15.076358440306,18.5364283305911,18.6112393694187,7.08480161735107,15.313509553424,10.6936761020636,12.746103229369,9.23420226961548,13.9313267937389,19.3074896710798,15.2932136842031,8.27911492791091
