"Case_IDs","KRT5","AQP4","AP004608.1","GRHL3","TICRR","KRT13","AC116407.1","TFAP2A","NTRK2","AP001972.5","TOX3","NXPH4","SERPINB2","SLC2A1","MUC21","KRT16","DPPA3P2","B4GALNT4","GJB6","E2F7","RPS29P11","PITX1","AC005537.2","MAP1LC3C","DUSP9","GABRA3","AC027288.1","CHRNB4","GNGT1","GPR87","LRRN4","PCDHA12"
"TCGA-78-7155-01A",12.7977714625484,12.4716717600603,9.56594064612437,14.0545353934288,17.2255861458266,13.6915062585766,14.6489739542894,17.4072500838819,12.9117053428135,21.5281055434553,14.8369075471624,14.1531273488826,9.0823455157931,20.7408969187147,14.4844184342197,10.8727924973714,13.147798378722,18.1266959325669,12.8556902260685,15.5556092125311,13.0673952043832,16.1730661217365,9.7400349197359,17.3201977101935,13.0848586831933,17.6968790876819,13.9565439867725,8.07663555953052,13.7155373660605,7.66421082371796,14.6274893435895,6.90921321499303
"TCGA-50-5072-01A",15.5998569496335,19.1625073225733,11.9113680012095,13.2473519642218,16.4806343275082,11.8674853270051,14.8676506711448,18.2564961785718,15.1632381886869,18.023877922612,16.6136751104058,15.3344330583353,8.41342430527292,20.8902003830139,15.9424002690138,15.5977973948398,8.86432811136537,13.3615367002788,16.5663223782824,16.151650334678,14.0121878838762,16.9716855155492,14.8696927607191,12.221092898112,13.484031359945,12.547559855373,10.3992233930165,15.0138858366056,13.5749157994657,17.4997797453073,15.0088959966602,14.3498711877414
"TCGA-50-6595-01A",19.8965482592392,12.5766786092138,8.70448837845797,12.997316304605,15.5465539881049,15.8427985777346,13.2176989889424,17.6742620566724,13.9946885334696,17.9179595255123,14.8742686641033,18.0109758387221,15.7939617290536,21.3707717199322,14.1115808402079,17.9034478570678,12.1935464814345,14.3224745136369,13.5498487979926,17.2108557332102,13.1569804436202,17.2637767543667,10.6908504975373,13.2887709463508,14.3133475420802,11.1132066465118,9.39237415648424,10.9102204075821,12.6355826794984,16.7261915673865,17.3296830773653,13.709229521093
"TCGA-44-7670-01A",17.7943716566777,17.5171947339646,12.1906451840293,15.6465278842065,15.9747702026339,12.0989210439999,13.3848737299471,16.3730829031258,13.7298630316577,16.9047339429465,16.7374354197118,18.0588775727842,12.5450435480686,20.8115898001373,15.1448628722237,14.0553703789318,13.3119444495501,17.7994376038048,11.2450680758665,16.2209473112048,13.7040656327014,15.418169510358,12.5356703707539,11.379246804192,16.5706533797482,15.269209123476,8.68537309858083,11.9217637500224,7.84662716498755,15.0770069045434,13.6044785230547,11.171561123553
"TCGA-34-2600-01A",25.8185080616501,16.6405906290414,14.0944324529734,19.3365742801535,16.6390417962238,24.9806903127737,13.0750799548822,19.5538226063415,16.5993973092649,17.1957600110642,14.6894204994663,19.3259879449267,21.5977030230167,23.7204689050805,14.3422385656793,20.7156023924879,9.55726556857816,17.4544866615374,20.2072722419735,15.8476882970477,12.9105613175784,21.9685696064651,15.6731873351306,13.2646393893255,15.9678184339347,18.548174653342,7.97659171680291,12.9060423158998,15.6104155932199,20.1685832352593,12.6633340531687,10.9242392567841
"TCGA-85-8664-01A",25.408105920027,14.3047232311587,5.7647616576902,15.2401669516772,18.0211203458763,15.5315362505165,14.2553132294689,18.5527162120089,19.3704257162631,17.9851757127276,9.45599297307519,19.4643238074661,11.847997604204,23.4451468583932,11.1180179913432,17.5085002272254,11.2123608432063,18.6236153229199,17.6272620414779,17.4364369838242,14.5012986308941,18.206573273764,15.0991732546619,10.630059000513,15.9240115495409,16.1861562791052,8.24537603909997,12.3299647578629,15.1564990401483,19.5459591698296,11.9444288075435,11.7268668331928
"TCGA-97-8175-01A",13.9211489065251,17.4531669353445,13.3732341102036,13.967413217899,14.7740490681761,14.0642832145262,15.520237607924,16.0256763867444,15.2715638496768,18.4722986725051,17.289627115696,11.7885789038626,10.630059000513,21.5470087288449,18.6027636533642,16.0142124567775,12.230001251822,10.5970101037037,17.2722981971557,14.0080448523188,16.4071256325096,17.4683150838803,7.56808103411035,14.9522659919476,9.4869834563874,9.51339701411441,9.76839917213228,9.88902066784961,9.77600604738379,16.9670535116682,15.5744940813313,12.8639317576147
"TCGA-21-1083-01A",25.5094688488345,15.1735820802347,9.68346400940753,12.3714431554634,17.2743159437011,14.1016308701075,11.3251963629574,18.7350044328483,16.0996273625579,17.2617355511138,8.53001716787218,18.8297525908814,10.8996927063606,22.3660808598202,7.72766338642198,17.440804128821,9.35514322066838,17.6018747037915,13.3899165378333,15.597238249337,9.64233989774381,16.2749209371538,12.3081359208958,12.3930270088075,16.735173544711,14.8926498568181,9.03942210867299,15.8529794483909,15.719067220808,19.9080045493894,12.3885788780118,11.601678958629
"TCGA-85-A4JC-01A",25.5638138994842,11.4635275335034,8.72406854455778,17.1201435387037,17.440131022191,24.2004831349783,10.6620855508216,18.0150533021806,17.9337349269644,16.6741399139352,12.4289038421528,17.5758768424702,16.1783203039305,23.8377711385922,8.02740971165499,24.7207686930328,10.2647761369915,12.1568516961997,21.4497355735644,14.3086603907601,11.642321041025,18.3284715364859,13.812510577406,8.70448837845797,16.5643958485517,16.5943638486141,9.36960998771079,15.1903755312869,14.0887095625244,20.0009558308309,8.93976557594425,7.44682698400795
"TCGA-NC-A5HN-01A",25.6222952587477,11.3251963629574,7.36385394930489,17.3876778511531,16.8877583428386,20.3016580526988,12.7362859283488,19.5550497120864,22.1605881200783,14.8328289931659,6.96323603574371,18.8630098297246,14.1308052088633,23.4853558605329,11.3433311444352,21.7379273230965,11.3593780995164,16.9506344205838,14.6728780922605,16.3599336561533,11.3002134596173,18.5292243573055,14.3959448001642,12.6481104579472,17.6415874626597,17.351350269489,8.45816776879792,13.1383351271497,15.2138138132477,18.693642056788,12.3141668925081,7.49393082683455
