"Case_IDs","S1PR5","AC116407.1","KRT13","TFAP2A","NXPH4","TOX3","NTRK2","TICRR","AP001972.5","GRHL3","MUC21","KRT16","SLC2A1","GABRA3","MAP1LC3C","GJB6","E2F7","CHRNB4","PITX1","RPS29P11","B4GALNT4","GPR87","DUSP9","LRRN4","KCNMB2-AS1","AC027288.1","FOXE1","AC005537.2","ZIC2","SCEL","TNS4","HOXC13"
"TCGA-55-7815-01A",14.4903933659044,15.0359659445686,10.79042833644,15.5898096518908,12.9515217652083,17.1412704826778,12.9368356717112,14.2006914271555,20.0663010273002,13.2897335645173,12.6355826794984,11.1132066465118,19.6819868109763,7.85870183302085,14.0152960911255,8.92866220370375,13.79930298603,10.6331579013561,14.4713108943633,18.1032841085819,16.7418964234807,7.99736767630333,11.327469093206,16.0775148720675,13.0040918102552,9.78414137123317,12.0168560560191,7.31024341847096,11.0584234402897,13.5295227523071,18.7036131980947,9.570209785644
"TCGA-55-A48X-01A",11.5794268634428,16.417322845692,12.5199107246777,16.3111557164613,10.9899690412106,16.2892647728572,13.7853615891457,13.4746264588107,18.9654704002964,14.9750546967984,19.1726660010405,15.2174415478072,18.1564900826279,9.63798043427323,14.2947272523496,15.4337580361878,13.7014324975045,11.4229014382134,15.2126253289651,16.4383321805718,13.933927703816,17.1222217392531,11.8903503797079,15.0662051120665,9.35007628446305,9.66272766879145,15.7600291292115,11.9732088574955,14.6552934205424,18.5022109587913,15.2591340306657,9.0554671278756
"TCGA-49-4490-01A",13.069642106678,15.4516373035523,15.0611245947699,18.028665292176,15.0543170451472,17.92939456456,14.6700742084178,12.9861614730844,18.2382251580174,15.3660467355271,22.772878860703,17.6343127952282,19.6371880574887,17.0699705546289,13.9185092464267,12.4000890135074,10.4598991508959,11.0708956952005,13.2082394653175,16.6593182205393,13.8116830856029,17.7713611618684,15.9475718430111,17.6282772451718,15.0580419325638,7.4309938309868,16.401435036994,12.7915056963573,13.1864323031189,19.479218540889,18.0555216976816,15.6580745390293
"TCGA-77-7141-01A",18.2597139869727,14.0307215909869,17.8861847120176,18.0640472194671,15.768079954617,13.4422406722246,22.1530456694284,17.0734607081844,16.2106430441351,17.2535632947161,8.99561672215288,23.4838095683984,21.851742614629,16.475832022619,11.2861464811233,16.084189708037,16.6167773039367,15.2773995159056,17.1964627938826,10.3046652116616,16.3442743265607,18.4894584489195,14.7706346053453,9.42888607513598,16.0469059260356,8.49477567409937,20.6621917055677,13.4083542692043,16.9567111807022,14.9691799794496,19.4194862916944,15.590333512427
"TCGA-85-7843-01A",18.2801971639753,11.476322042093,25.5629229508275,18.375325615841,16.8569163625629,10.5580589421647,21.8233902911859,16.8921097748312,16.8430493992021,18.5928020961173,13.7432320524629,23.4451468583932,23.3260470849503,14.5984807041703,11.1132066465118,19.2666859853224,17.9300856190955,13.2050309402699,21.6716396540235,10.1797423887687,15.0851643432891,19.8249231039616,15.4337580361878,10.6995801832984,17.0088058204914,8.73658786711669,19.8263941913841,13.1935763412012,17.677943350817,16.4540871617149,18.6463486041688,16.2390466392103
"TCGA-77-A5G8-01B",18.615502237174,13.032575911235,24.3133534205539,18.3202521783771,18.5149575060669,9.25407699474637,23.1700617562949,17.0846215972514,15.7135519807285,18.5858341175242,9.8811911102778,24.9488002196329,23.2244249894671,16.0233885057061,10.1342292569955,23.0351668101781,16.400629918665,14.0667380426967,20.0301852606283,12.4332671224928,17.9267339622685,18.2283963342668,16.645529258899,10.966648845894,16.671474374681,8.92866220370375,20.9304070744759,14.2514882385619,17.0331354520319,14.3688384228935,19.2508426480907,16.060903563282
"TCGA-34-5927-01A",15.2138138132477,12.0599008301638,24.6682463459593,18.7535859581254,19.2595230350377,17.8680623167203,19.4868317971572,17.285232228491,16.7649745803382,15.6742496008712,12.2433715952394,22.2411664361349,23.8664739461648,16.5330336851476,10.4630117164064,15.8669838900849,17.3452378984035,12.358583442569,19.0079073543681,9.7400349197359,19.1379499453146,16.9047339429465,17.030666425484,13.3507529722175,16.8331803220294,13.1770763881304,18.1142869044512,11.6383469938895,18.6054598204934,11.8816873356541,19.5851304994795,15.5449293494106
"TCGA-33-AASI-01A",17.0598151650149,13.7686267573601,16.1582532573585,19.2975984889352,15.0961051737952,9.66709161670085,15.6323896463727,17.8797990340244,16.835764324148,14.4274536656468,13.9946885334696,17.7125046635415,19.748287547913,17.5114919923675,11.5878168238505,16.8863108079953,16.3475480272578,14.2832615261042,19.7497456826835,11.0106716197844,16.7295812075054,18.8297525908814,14.4786283355666,10.0746337039972,16.8758101639827,7.85870183302085,17.8057818182126,15.5755285654613,12.8048231855764,17.6835815858174,22.0946980282157,14.7434011045879
"TCGA-22-5471-11A",14.6790402008389,18.2716865593039,15.7585356717455,13.4489078476481,12.2569026667845,14.6742416039726,18.777297426983,11.3068459233032,21.4102694711149,9.93829554640901,17.372956221014,11.7021804052957,16.5306410386987,8.96746084022181,17.4626152781566,8.05670116797938,12.6128434297204,8.00771845705928,13.8495426517628,18.0330378003887,11.0334035729214,12.7498685117014,10.1376518352067,18.2266335180147,8.52304838507355,13.8418145922909,12.4442012406874,10.0052397265614,8.50198854220486,19.6506311801508,15.1319956332482,8.2540069895505
"TCGA-96-A4JL-01A",16.6741399139352,12.9717095629542,18.7084772732091,19.0881893395475,16.2334559711936,13.1171350693491,21.126153197514,16.4721842037452,17.6565617490764,14.5740193347578,10.1240223898464,18.1228975416603,19.8574650447793,10.7199754358916,11.2861464811233,10.4217277158838,15.5331511466927,9.78806381586888,17.5802678356384,11.5427557163282,17.568250797438,18.2933961574887,13.1182671042092,11.3880792064853,7.58260445918953,7.67697866979103,22.2002145250255,14.4667791262614,20.0654710153935,12.0451069120968,18.2089835296063,12.3170360739816
