Case_IDs,BSN-AS1,RHBG,RP11-524L6.4,CDKN2B,CTD-2066L21.3,CTA-212A2.3,MAGI1-IT1,PSMD4,RP3-324O17.8,EIF4E3,SORBS2,CTD-2154B17.3,RP11-708J19.3,GBAP1,CADPS,SNORA72,ERVFRD-3,DAB2,AC112219.1,NUP210L,ERC2-IT1,INTS6P1,APOL2,MTX1,TPMTP2,CDKN2B-AS1,GBE1,CTD-2154B17.1,RNU4-78P,INTS3,PRIMPOL,MYLKP1,RNU6-1309P,RP1-251I12.1,SUCLG2-AS1,RP11-169K17.2,IZUMO3,APOL6,RP11-216N14.7,DNAH12
TCGA-NC-A5HK-01A,-0.2897,0.0497,-0.3004,-1.1375,1.1656,0.0706,-0.7507,0.0836,1.0225,-0.783,-0.3469,0.9137,-0.2897,0.0497,-0.7507,0.5708,0.117,1.2671,-0.783,0.0497,-0.2965,1.2671,0.0706,0.0497,-0.2897,-1.1375,-0.6823,0.9003,-0.2897,0.0497,-0.3469,-0.6823,0.0836,0.9896,-0.7507,0.5769,-1.1706,0.0706,0.0497,-0.2965
TCGA-L9-A50W-01A,-0.6071,0.0821,0.106,-2.3282,0.1105,0.0771,-0.6071,0.0821,0.0808,-0.6071,0.0981,0.1107,-0.6071,0.0821,-0.6071,0.1167,-2.3282,0.1105,-0.6071,0.0821,-0.6071,0.1105,0.0771,0.0821,-0.6071,-2.3282,0.1079,0.1107,-0.6071,0.0821,0.0981,-0.6071,0.0821,0.1142,-0.6071,-0.6241,0.126,0.0771,0.0821,-0.6071
TCGA-63-A5MW-01A,-0.0426,-0.0223,-0.6178,-0.4255,1.8381,0.5707,-0.0053,-0.0209,0.2578,-0.029,-0.4371,1.8813,-0.0426,-0.0223,-0.0053,1.1116,-0.4255,1.9036,-0.029,-0.0223,-0.0142,1.9036,0.5707,-0.0223,-0.0426,-0.4255,-0.0063,1.8813,-0.0426,-0.0223,-0.4371,-0.0063,-0.0209,1.9119,-0.0053,-0.1811,-0.4255,0.5707,-0.0223,-0.0142
TCGA-50-5944-10A,0.0093,0.0109,0.0019,0.0049,0.0034,0.0254,0.0031,0.0437,0.0213,0.0091,0.0068,0.0211,0.0093,0.0109,-0.0063,0.0031,0.0049,0.0034,0.0091,0.0109,0.0184,0.0034,0.0254,0.0109,0.0093,0.0049,-0.0015,0.0211,0.0093,0.0109,0.0068,0.0091,0.0437,0.0034,0.0031,0.0192,0.004,0.0254,0.0109,0.0184
TCGA-69-7980-01A,-0.1872,0.2695,-0.1783,-1.6822,-0.1603,-0.1818,-0.14,0.2853,0.3501,-0.1532,0.2997,-0.1652,-0.1872,0.2695,-0.14,-0.2441,-1.6822,-0.1603,-0.1532,0.2695,-0.145,-0.1603,-0.1818,0.2695,-0.1552,-1.6822,-0.1532,-0.1652,-0.1552,0.3198,0.2997,-0.1532,0.2853,-0.1636,-0.14,-0.1779,-0.0914,-0.1818,0.2695,-0.145
TCGA-56-8503-10A,0.017,-0.0072,-0.0156,-0.0069,0.0089,0.074,-0.0029,0.0103,-0.0047,-0.0412,0.1437,0.0547,0.017,-0.0072,-0.0225,-1.1143,-0.0069,0.0495,-0.0412,-0.0072,0.0095,0.0495,0.074,-0.0072,0.3134,-0.0069,-0.1174,0.0016,0.0097,-0.0072,0.1437,0.1705,0.0103,0.0217,-0.0677,0.0205,0.2608,0.074,-0.0072,-0.0015
TCGA-85-8481-10A,0.0025,0.0027,0.0069,-0.004,0.0069,-0.0021,0.0018,0.0238,-0.0016,0.0018,0.0076,0.0045,0.0025,0.0027,0.0018,0.0039,-0.004,0.0069,0.0018,0.0027,0.0025,0.0069,-0.0021,0.0027,0.0065,-0.004,0.0018,0.0045,0.0065,0.0027,0.0076,0.0018,0.0238,0.003,0.0018,0.0065,0.0025,-0.0021,0.0027,0.0025
TCGA-22-4607-01A,-0.4753,0.389,-0.4187,-0.3978,0.168,0.1548,-0.4093,0.397,0.0748,-0.4432,-0.3719,0.1466,-0.4753,0.389,-0.4093,0.3797,-0.3978,0.168,-0.4432,0.389,-0.4093,0.168,0.1548,0.389,-0.4072,-0.3978,-0.3779,0.1466,-0.4473,0.389,-0.3719,-0.3779,0.397,0.1625,-0.4093,-0.4188,-0.3978,0.1548,0.389,-0.4093
TCGA-77-7139-10A,-0.0031,0.0063,0.0027,0.0055,0.0029,0.0068,0.0084,0.0106,0.0078,0.0084,0.0201,0.0033,-0.0031,0.0063,0.0084,0.0043,0.0055,0.0051,0.0084,0.0063,0.0023,0.0051,0.0068,0.0063,0.0024,0.0055,0.0084,0.0051,0.0024,0.0063,0.0201,0.0084,0.0106,0.0051,0.0084,0.0006,0.0055,0.0068,0.0063,0.0023
TCGA-MP-A4TH-10A,0.0016,0.0006,0.0023,0.0079,0.0023,-0.0032,-0.0009,0.0002,-0.0007,0.0062,-0.0009,0.0023,0.0016,0.0006,-0.0009,-0.0028,0.0079,0.0023,0.0062,0.0006,-0.0009,0.0023,-0.0032,0.0006,0.0016,0.0079,0.0062,0.0023,0.0016,0.0006,-0.0009,0.0062,0.0002,0.0023,-0.0009,-0.0005,0.0062,-0.0032,0.0006,-0.0009
