Case_IDs,RNU7-136P,RP11-795A2.2,CCDC39,LINC00969,ARHGEF26,CPN2,CLDN11,IQCJ-SCHIP1,SERPINI1,AADACL2-AS1,ATP13A4,TP63,SOX2-OT,PTX3,C3orf33,UTS2B,RP11-496B10.3,DNAJB11,AGTR1,FRG2FP,PLD1,DHX36,RSRC1,MCCC1,VEZF1P1,RP11-368I23.2,TPRG1,MED12L,AC024560.3,RP11-513G11.3,NLGN1,TM4SF18,PARL,MUC20,TERC,B3GALNT1,RP11-362A9.3,MCF2L2,RP11-197K6.1,RP11-501O2.5
TCGA-55-8091-10A,0.0036,0.0051,0.0047,0.0239,0.0036,0.0239,0.0047,0.0036,0.0047,0.0036,0.0239,0.0051,0.0047,0.0036,0.0036,0.0051,0.0047,0.0051,0.0036,0.0709,0.0047,0.0036,0.0036,0.0047,0.0051,0.0047,0.0051,0.0036,0.0709,0.0239,0.0047,0.0036,0.1461,0.0239,0.0047,0.0036,0.0036,0.0047,0.0051,0.0036
TCGA-95-7948-10A,0.0007,0.0163,0.0163,0.0217,0.0007,0.0217,0.0163,0.0007,0.0163,0.0007,0.0217,-0.6464,0.0163,0.0007,0.0007,0.0125,0.0163,0.0163,0.0007,0.0146,0.0163,0.0007,0.0007,0.0163,-0.8925,0.0163,0.0163,0.0007,0.0146,0.0217,0.0163,0.0007,0.0163,0.0217,0.0163,0.0007,0.0007,0.0163,0.0125,0.0007
TCGA-55-8203-10A,-0.0024,0.0077,0.0077,0.552,-0.0024,0.0105,-0.0026,-0.0024,-0.0161,-0.0024,0.0105,-0.0041,0.0077,-0.0024,-0.0024,-0.0041,0.0077,0.0077,-0.0057,0.0522,-0.0026,-0.0024,-0.0024,0.0077,-0.0041,-0.0161,0.0077,-0.0024,0.0522,0.0105,-0.0026,-0.0024,0.0077,0.552,-0.0026,-0.0334,-0.0024,0.0077,-0.0041,-0.0057
TCGA-73-4676-11A,0.0108,0.0146,0.004,0.0164,0.0108,0.0164,0.0171,0.0108,0.0171,0.0108,0.0164,0.0146,0.004,0.0108,0.0108,0.0146,0.004,0.0146,0.0108,0.2463,0.0171,0.0108,0.0108,0.004,0.0146,0.0171,0.0146,0.0108,0.0441,0.0164,0.0171,0.0108,0.0146,0.0164,0.0171,0.0108,0.0108,0.004,0.0146,0.0108
TCGA-55-8090-10A,0.0066,0.0066,0.0066,0.4195,0.0066,-0.0006,0.0066,0.0066,0.0066,0.0066,-0.0006,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0102,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0102,-0.0006,0.0066,0.0066,0.0066,0.4195,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066
TCGA-44-7661-10A,-0.0016,-0.0004,-0.0004,-0.3254,-0.0016,0.0085,-0.0004,-0.0016,-0.0004,-0.0016,0.0085,-0.0006,-0.0004,-0.0016,-0.0016,-0.0006,-0.0004,-0.0004,-0.0016,0.0173,-0.0004,-0.0016,-0.0016,-0.0004,-0.0006,-0.0004,-0.0006,-0.0016,0.0173,0.0085,-0.0004,-0.0016,-0.0004,-0.3254,-0.0004,-0.0016,-0.0016,-0.0004,-0.0006,-0.0016
TCGA-94-7557-01A,0.2165,-1.216,0.2232,0.2052,0.2165,0.2052,0.2232,0.2165,0.2232,0.2165,0.2052,0.2243,0.2232,0.2165,0.2165,0.2243,0.2232,0.203,0.2165,-1.01,0.2232,0.2165,0.2165,0.2232,0.2243,0.2232,0.2243,0.2165,0.6439,0.2052,0.2232,0.2165,0.5901,0.2052,0.2232,0.2165,0.2165,0.2232,0.2243,0.2165
TCGA-33-4538-11A,-0.002,0.0039,0.0039,0.001,-0.002,0.0008,0.0039,-0.002,0.0039,-0.002,0.0008,0.0039,0.0039,-0.002,-0.002,0.0039,0.0039,0.0039,-0.002,0.0409,0.0039,-0.002,-0.002,0.0039,0.0039,0.0039,0.0039,-0.002,0.0409,0.0008,0.0039,-0.002,0.0039,-0.3087,0.0039,-0.002,-0.002,0.0039,0.0039,-0.002
TCGA-55-7724-10A,-0.0017,0.0007,0.0007,-0.8009,-0.0017,0.0079,0.0007,-0.0017,-0.0061,-0.0017,0.0079,0.0007,0.0007,-0.0017,-0.0017,0.0007,0.0007,0.0007,-0.0017,-0.0019,0.0007,-0.0017,-0.0017,0.0007,0.0007,0.0007,0.0007,-0.0017,-0.0019,0.0079,0.0007,-0.0017,0.0007,-0.0019,0.0007,-0.0017,-0.0017,0.0007,0.0007,-0.0017
TCGA-60-2698-01A,0.9103,0.6946,0.9176,0.9501,0.1526,0.7106,0.9527,0.9103,0.8881,0.1526,0.7106,0.6946,0.9176,0.9103,0.1526,0.6754,0.9176,0.6946,0.1526,0.8252,0.9527,0.1526,0.9103,0.983,0.6754,0.8881,0.6946,0.1526,0.8252,0.7106,0.9527,0.1526,0.983,0.5454,0.9028,0.9103,0.1526,0.983,0.6754,0.1526
